Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E_Cermati_Registration,Chrome 109.0.0.0,,,2023-02-01 14:53:21,2023-02-01 14:53:37,15.476s,PASSED
,,,,,,,
Test Cases/TC_GenerateEmail_And_PhoneNumber,Chrome 109.0.0.0,,,2023-02-01 14:53:21,2023-02-01 14:53:22,0.561s,PASSED
"mail = cermati.test.Generator.generateEmail(""narodo_"", ""@mail.com"")",Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:22,0.200s,PASSED
"phoneNumber = cermati.test.Generator.generatePhoneNumber(""0822"")",Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:22,0.001s,PASSED
println(mail),Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:22,0.006s,PASSED
println(phoneNumber),Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:22,0.000s,PASSED
,,,,,,,
Test Cases/TC_Run_RegisterFeature,Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:37,14.604s,PASSED
"runFeatureFile(""Include/features/Registration.feature"")",Chrome 109.0.0.0,,,2023-02-01 14:53:22,2023-02-01 14:53:37,14.382s,PASSED
